ID,AdmArea,Month,Year,TotalAmount,Suppliers,global_id
279,Северный административный округ,Март,2018,1.65707247747E9,"Supplier:ОАО «МОЭК»
Amount:6.553698223E8

Supplier:Газпром межрегионгаз Москва
Amount:2.800195171E7

Supplier:Мосводоканал
Amount:1.784300616E8

Supplier:Ростелеком
Amount:6

Supplier:РСВО
Amount:1.486594979E7

Supplier:управляющие компании
Amount:4.2212845907E8

Supplier:прочие
Amount:2.9808699094E8

",885817042
280,Северо-Восточный административный округ,Март,2018,1.90082317386E9,"Supplier:ОАО «МОЭК»
Amount:7.2224131081E8

Supplier:Газпром межрегионгаз Москва
Amount:2

Supplier:Мосводоканал
Amount:1.9612754932E8

Supplier:Ростелеком
Amount:6.874274949E7

Supplier:РСВО
Amount:1.659325122E7

Supplier:управляющие компании
Amount:5.6118363564E8

Supplier:прочие
Amount:3.1586999486E8

",885817190
281,Восточный административный округ,Март,2018,2,"Supplier:ОАО «МОЭК»
Amount:7.677330851E8

Supplier:Мосэнергосбыт
Amount:2.620731301E7

Supplier:Газпром межрегионгаз Москва
Amount:4

Supplier:Мосводоканал
Amount:2.190738608E8

Supplier:Ростелеком
Amount:7.927309005E7

Supplier:РСВО
Amount:1.618878107E7

Supplier:управляющие компании
Amount:6.3029492312E8

Supplier:прочие
Amount:3

",885817216
282,Юго-Восточный административный округ,Март,2018,1.97996710892E9,"Supplier:ОАО «МОЭК»
Amount:6.625253125E8

Supplier:Мосэнергосбыт
Amount:3.654693963E7

Supplier:Газпром межрегионгаз Москва
Amount:2.511910111E7

Supplier:Мосводоканал
Amount:1.744335037E8

Supplier:Ростелеком
Amount:2845730.51

Supplier:РСВО
Amount:1.444713573E7

Supplier:управляющие компании
Amount:6.7804196252E8

Supplier:прочие
Amount:3.8600742322E8

",885817450
283,Южный административный округ,Март,2018,2.21759327163E9,"Supplier:ОАО «МОЭК»
Amount:8.8729107793E8

Supplier:Газпром межрегионгаз Москва
Amount:2.879864249E7

Supplier:Мосводоканал
Amount:2.197549587E8

Supplier:Ростелеком
Amount:8.43293651E7

Supplier:РСВО
Amount:1.892657894E7

Supplier:управляющие компании
Amount:6

Supplier:прочие
Amount:3.688907458E8

",885817480
284,Юго-Западный административный округ,Март,2018,2,"Supplier:ОАО «МОЭК»
Amount:8.1406371734E8

Supplier:Газпром межрегионгаз Москва
Amount:1.944178058E7

Supplier:Мосводоканал
Amount:2

Supplier:Ростелеком
Amount:7.660365814E7

Supplier:РСВО
Amount:1.699098411E7

Supplier:управляющие компании
Amount:5.8387576034E8

Supplier:прочие
Amount:3.5357440685E8

",885817493
285,Западный административный округ,Март,2018,1.66709400082E9,"Supplier:ОАО «МОЭК»
Amount:6

Supplier:Газпром межрегионгаз Москва
Amount:2.198266057E7

Supplier:Мосводоканал
Amount:1.7030565613E8

Supplier:Ростелеком
Amount:6.151676017E7

Supplier:РСВО
Amount:1.398259348E7

Supplier:управляющие компании
Amount:4.7975236661E8

Supplier:прочие
Amount:3.1762435974E8

",885817510
286,Северо-Западный административный округ,Март,2018,1.2219830619E9,"Supplier:ОАО «МОЭК»
Amount:4.6422098534E8

Supplier:Газпром межрегионгаз Москва
Amount:1.532320092E7

Supplier:Мосводоканал
Amount:125924091

Supplier:Ростелеком
Amount:4.513385224E7

Supplier:РСВО
Amount:1

Supplier:управляющие компании
Amount:3.5611522185E8

Supplier:прочие
Amount:2

",885817520
287,Зеленоградский административный округ,Март,2018,3.948832736E8,"Supplier:Газпром межрегионгаз Москва
Amount:159826.51

Supplier:Мосводоканал
Amount:4

Supplier:Ростелеком
Amount:1.582222834E7

Supplier:РСВО
Amount:3479996.79

Supplier:ОАО «МОЭК»
Amount:1.5517653886E8

Supplier:управляющие компании
Amount:1.1284198668E8

Supplier:прочие
Amount:6.677859145E7

",885817544
288,Новомосковский административный округ,Март,2018,2.375374885E8,"Supplier:Мосводоканал
Amount:1.284252294E7

Supplier:управляющие компании
Amount:3.720050092E7

Supplier:прочие
Amount:1.2537443007E8

Supplier:ОАО «МОЭК»
Amount:6.212003457E7

",885817568
289,Троицкий административный округ,Март,2018,9.654848474E7,"Supplier:Мосводоканал
Amount:7122688.98

Supplier:управляющие компании
Amount:1.457632848E7

Supplier:прочие
Amount:3.267064104E7

Supplier:ОАО «МОЭК»
Amount:4.217882624E7

",885817583
290,Центральный административный округ,Февраль,2018,1.24752302493E9,"Supplier:ОАО «МОЭК»
Amount:4.3156523592E8

Supplier:Газпром межрегионгаз Москва
Amount:2.132718924E7

Supplier:Мосводоканал
Amount:1.3368117086E8

Supplier:Ростелеком
Amount:3.409039997E7

Supplier:РСВО
Amount:9585762.55

Supplier:управляющие компании
Amount:4

Supplier:прочие
Amount:2.1688665411E8

",885817661
291,Северный административный округ,Февраль,2018,1.66872334752E9,"Supplier:ОАО «МОЭК»
Amount:6.5811054019E8

Supplier:Газпром межрегионгаз Москва
Amount:2.803382774E7

Supplier:Мосводоканал
Amount:1.8365037753E8

Supplier:Ростелеком
Amount:6

Supplier:РСВО
Amount:1.492588183E7

Supplier:управляющие компании
Amount:4.2153993697E8

Supplier:прочие
Amount:3

",885817674
292,Северо-Восточный административный округ,Февраль,2018,1.8920906257E9,"Supplier:ОАО «МОЭК»
Amount:7.1282191303E8

Supplier:Газпром межрегионгаз Москва
Amount:2

Supplier:Мосводоканал
Amount:2

Supplier:Ростелеком
Amount:6.867006144E7

Supplier:РСВО
Amount:1.669623595E7

Supplier:управляющие компании
Amount:5.6352456984E8

Supplier:прочие
Amount:3

",885817693
293,Восточный административный округ,Февраль,2018,2,"Supplier:ОАО «МОЭК»
Amount:7.5849856958E8

Supplier:Мосэнергосбыт
Amount:2.93398808E7

Supplier:Газпром межрегионгаз Москва
Amount:3.996624089E7

Supplier:Мосводоканал
Amount:2.2194126698E8

Supplier:Ростелеком
Amount:7.95893245E7

Supplier:РСВО
Amount:1.632526473E7

Supplier:управляющие компании
Amount:6.3078473361E8

Supplier:прочие
Amount:3

",885817714
294,Юго-Восточный административный округ,Февраль,2018,1.98038704943E9,"Supplier:ОАО «МОЭК»
Amount:6.5358284286E8

Supplier:Мосэнергосбыт
Amount:4.134275036E7

Supplier:Газпром межрегионгаз Москва
Amount:2.512016888E7

Supplier:Мосводоканал
Amount:1.7892623715E8

Supplier:Ростелеком
Amount:2873782.18

Supplier:РСВО
Amount:1.453929212E7

Supplier:управляющие компании
Amount:6.7578389583E8

Supplier:прочие
Amount:3.8821808005E8

",885817776
295,Южный административный округ,Февраль,2018,2.22204745551E9,"Supplier:ОАО «МОЭК»
Amount:8.8616373474E8

Supplier:Газпром межрегионгаз Москва
Amount:2.880476631E7

Supplier:Мосводоканал
Amount:2.2583136551E8

Supplier:Ростелеком
Amount:8.37788867E7

Supplier:РСВО
Amount:1.900364754E7

Supplier:управляющие компании
Amount:6.1048734393E8

Supplier:прочие
Amount:3.6797771078E8

",885817925
296,Юго-Западный административный округ,Февраль,2018,2,"Supplier:ОАО «МОЭК»
Amount:8

Supplier:Газпром межрегионгаз Москва
Amount:1.906704681E7

Supplier:Мосводоканал
Amount:2

Supplier:Ростелеком
Amount:7.731401701E7

Supplier:РСВО
Amount:1.697296171E7

Supplier:управляющие компании
Amount:5.7987466384E8

Supplier:прочие
Amount:3.583868417E8

",885817957
297,Западный административный округ,Февраль,2018,1.66574063171E9,"Supplier:ОАО «МОЭК»
Amount:5.9830036962E8

Supplier:Газпром межрегионгаз Москва
Amount:2.196579878E7

Supplier:Мосводоканал
Amount:1.7526000953E8

Supplier:Ростелеком
Amount:6.140469656E7

Supplier:РСВО
Amount:1.404809503E7

Supplier:управляющие компании
Amount:4.8058312734E8

Supplier:прочие
Amount:3.1468630385E8

",885817989
298,Северо-Западный административный округ,Февраль,2018,1.21645285199E9,"Supplier:ОАО «МОЭК»
Amount:4.5587706522E8

Supplier:Газпром межрегионгаз Москва
Amount:1.535456289E7

Supplier:Мосводоканал
Amount:1.2753724755E8

Supplier:Ростелеком
Amount:4.513616348E7

Supplier:РСВО
Amount:1

Supplier:управляющие компании
Amount:3.5606956645E8

Supplier:прочие
Amount:2

",885818017
299,Зеленоградский административный округ,Февраль,2018,4,"Supplier:Газпром межрегионгаз Москва
Amount:159690.17

Supplier:Мосводоканал
Amount:4.180889719E7

Supplier:Ростелеком
Amount:1.58066128E7

Supplier:РСВО
Amount:3501266.86

Supplier:ОАО «МОЭК»
Amount:1.6051908528E8

Supplier:управляющие компании
Amount:1.1278195703E8

Supplier:прочие
Amount:6.688126179E7

",885818053
300,Новомосковский административный округ,Февраль,2018,2.3754553026E8,"Supplier:Мосводоканал
Amount:1.301410756E7

Supplier:управляющие компании
Amount:3.740299999E7

Supplier:ОАО «МОЭК»
Amount:6.173618193E7

Supplier:прочие
Amount:1.2539224078E8

",885818068
301,Троицкий административный округ,Февраль,2018,9.850528813E7,"Supplier:Мосводоканал
Amount:7239892

Supplier:управляющие компании
Amount:1.472251152E7

Supplier:прочие
Amount:3.331015359E7

Supplier:ОАО «МОЭК»
Amount:4.323273101E7

",885818071
266,Центральный административный округ,Январь,2018,1.25593240709E9,"Supplier:ОАО «МОЭК»
Amount:4.3424734867E8

Supplier:Газпром межрегионгаз Москва
Amount:2.126232577E7

Supplier:Мосводоканал
Amount:1.3245184128E8

Supplier:Ростелеком
Amount:3.369905345E7

Supplier:РСВО
Amount:9611906.68

Supplier:управляющие компании
Amount:4

Supplier:прочие
Amount:2.1685632409E8

",885818212
267,Северный административный округ,Январь,2018,1.66893949104E9,"Supplier:ОАО «МОЭК»
Amount:6.7148914019E8

Supplier:Газпром межрегионгаз Москва
Amount:2.799063852E7

Supplier:Мосводоканал
Amount:1.7924373171E8

Supplier:Ростелеком
Amount:6

Supplier:РСВО
Amount:1.49729099E7

Supplier:управляющие компании
Amount:4.2049256717E8

Supplier:прочие
Amount:2.9454689207E8

",885818232
268,Северо-Восточный административный округ,Январь,2018,1.9212475023E9,"Supplier:ОАО «МОЭК»
Amount:7.4484998753E8

Supplier:Газпром межрегионгаз Москва
Amount:2

Supplier:Мосводоканал
Amount:1.9556074083E8

Supplier:Ростелеком
Amount:6.836734768E7

Supplier:РСВО
Amount:1.674579539E7

Supplier:управляющие компании
Amount:5.6801241108E8

Supplier:прочие
Amount:3

",885818243
269,Восточный административный округ,Январь,2018,2.10906449943E9,"Supplier:ОАО «МОЭК»
Amount:7.9700072116E8

Supplier:Мосэнергосбыт
Amount:2.901984186E7

Supplier:Газпром межрегионгаз Москва
Amount:3.99476713E7

Supplier:Мосводоканал
Amount:2.1806280273E8

Supplier:Ростелеком
Amount:7.964359428E7

Supplier:РСВО
Amount:1.635502984E7

Supplier:управляющие компании
Amount:6.2730621997E8

Supplier:прочие
Amount:3

",885818265
270,Юго-Восточный административный округ,Январь,2018,1.9984953454E9,"Supplier:ОАО «МОЭК»
Amount:6.8413697681E8

Supplier:Мосэнергосбыт
Amount:3.908269657E7

Supplier:Газпром межрегионгаз Москва
Amount:2.505646735E7

Supplier:Мосводоканал
Amount:1.7353641607E8

Supplier:Ростелеком
Amount:2853748.21

Supplier:РСВО
Amount:1.461475889E7

Supplier:управляющие компании
Amount:6.7685872336E8

Supplier:прочие
Amount:3.8235555814E8

",885818287
271,Южный административный округ,Январь,2018,2.23240189558E9,"Supplier:ОАО «МОЭК»
Amount:9

Supplier:Газпром межрегионгаз Москва
Amount:2.868181775E7

Supplier:Мосводоканал
Amount:2.1953799193E8

Supplier:Ростелеком
Amount:8.36687319E7

Supplier:РСВО
Amount:1.906971813E7

Supplier:управляющие компании
Amount:6

Supplier:прочие
Amount:3.6728497973E8

",885818299
272,Юго-Западный административный округ,Январь,2018,2,"Supplier:ОАО «МОЭК»
Amount:8.1505519627E8

Supplier:Газпром межрегионгаз Москва
Amount:1.916863172E7

Supplier:Мосводоканал
Amount:2

Supplier:Ростелеком
Amount:7.723067569E7

Supplier:РСВО
Amount:1.704353535E7

Supplier:управляющие компании
Amount:5.8106477597E8

Supplier:прочие
Amount:3.4849043186E8

",885818313
273,Западный административный округ,Январь,2018,1.69084662862E9,"Supplier:ОАО «МОЭК»
Amount:6.2795531027E8

Supplier:Газпром межрегионгаз Москва
Amount:2.190841432E7

Supplier:Мосводоканал
Amount:1.7068399082E8

Supplier:Ростелеком
Amount:6.134291202E7

Supplier:РСВО
Amount:1.41070081E7

Supplier:управляющие компании
Amount:4.7791992988E8

Supplier:прочие
Amount:3.1692906321E8

",885818330
274,Северо-Западный административный округ,Январь,2018,1.2346974157E9,"Supplier:ОАО «МОЭК»
Amount:4.7529694806E8

Supplier:Газпром межрегионгаз Москва
Amount:1.526652159E7

Supplier:Мосводоканал
Amount:1.2415174192E8

Supplier:Ростелеком
Amount:4.494504423E7

Supplier:РСВО
Amount:1

Supplier:управляющие компании
Amount:3.5617855158E8

Supplier:прочие
Amount:2

",885818341
275,Зеленоградский административный округ,Январь,2018,3.9719562633E8,"Supplier:Газпром межрегионгаз Москва
Amount:159935

Supplier:Мосводоканал
Amount:4

Supplier:Ростелеком
Amount:1.580892469E7

Supplier:РСВО
Amount:3510409.34

Supplier:ОАО «МОЭК»
Amount:158380116

Supplier:управляющие компании
Amount:1.1260950787E8

Supplier:прочие
Amount:6.671555003E7

",885818362
276,Новомосковский административный округ,Январь,2018,2.2610573609E8,"Supplier:Мосводоканал
Amount:1.198944512E7

Supplier:управляющие компании
Amount:3.715866027E7

Supplier:ОАО «МОЭК»
Amount:5.32036932E7

Supplier:прочие
Amount:1.237539375E8

",885818374
277,Троицкий административный округ,Январь,2018,9,"Supplier:Мосводоканал
Amount:6763230

Supplier:управляющие компании
Amount:1.536958019E7

Supplier:прочие
Amount:3

Supplier:ОАО «МОЭК»
Amount:3.76314792E7

",885818384
338,Центральный административный округ,Февраль,2019,1318968869,"Supplier:ОАО «МОЭК»
Amount:4.8044303498E8

Supplier:Газпром межрегионгаз Москва
Amount:2.248898126E7

Supplier:Мосводоканал
Amount:1.2803020304E8

Supplier:Ростелеком
Amount:3.645687247E7

Supplier:РСВО
Amount:9843942.87

Supplier:управляющие компании
Amount:4

Supplier:прочие
Amount:2.3402676903E8

",915889876
339,Северный административный округ,Февраль,2019,1.83156211951E9,"Supplier:ОАО «МОЭК»
Amount:7.3399273387E8

Supplier:Газпром межрегионгаз Москва
Amount:2.975236505E7

Supplier:Мосводоканал
Amount:1.8973446313E8

Supplier:Ростелеком
Amount:6.338347566E7

Supplier:РСВО
Amount:1.517150974E7

Supplier:управляющие компании
Amount:4.6630505236E8

Supplier:прочие
Amount:3.3322251997E8

",915889877
340,Северо-Восточный административный округ,Февраль,2019,2,"Supplier:ОАО «МОЭК»
Amount:8

Supplier:Газпром межрегионгаз Москва
Amount:2.106225256E7

Supplier:Мосводоканал
Amount:2.1864170776E8

Supplier:Ростелеком
Amount:7

Supplier:РСВО
Amount:1.690336922E7

Supplier:управляющие компании
Amount:5.833652527E8

Supplier:прочие
Amount:3.6149027966E8

",915889878
341,Восточный административный округ,Февраль,2019,2.27185446385E9,"Supplier:ОАО «МОЭК»
Amount:8.5407020135E8

Supplier:Мосэнергосбыт
Amount:2.579914421E7

Supplier:Газпром межрегионгаз Москва
Amount:4.245046626E7

Supplier:Мосводоканал
Amount:2.3778498182E8

Supplier:Ростелеком
Amount:8.687798364E7

Supplier:РСВО
Amount:1.651047086E7

Supplier:управляющие компании
Amount:6.7410767711E8

Supplier:прочие
Amount:3.342535386E8

",915889879
342,Юго-Восточный административный округ,Февраль,2019,2.17569959346E9,"Supplier:ОАО «МОЭК»
Amount:7.2839546525E8

Supplier:Мосэнергосбыт
Amount:4

Supplier:Газпром межрегионгаз Москва
Amount:2.662649635E7

Supplier:Мосводоканал
Amount:1.8918743522E8

Supplier:Ростелеком
Amount:4031068.43

Supplier:РСВО
Amount:1.480500496E7

Supplier:управляющие компании
Amount:7.4298164779E8

Supplier:прочие
Amount:4.290438078E8

",915889880
343,Южный административный округ,Февраль,2019,2.39617682088E9,"Supplier:ОАО «МОЭК»
Amount:9.5179057804E8

Supplier:Газпром межрегионгаз Москва
Amount:3

Supplier:Мосводоканал
Amount:2.3835543644E8

Supplier:Ростелеком
Amount:9

Supplier:РСВО
Amount:1.927807085E7

Supplier:управляющие компании
Amount:6.5276395853E8

Supplier:прочие
Amount:4.1345845498E8

",915889881
344,Юго-Западный административный округ,Февраль,2019,2.26474848903E9,"Supplier:ОАО «МОЭК»
Amount:9.1784269925E8

Supplier:Газпром межрегионгаз Москва
Amount:1.980645113E7

Supplier:Мосводоканал
Amount:2.1705664053E8

Supplier:Ростелеком
Amount:8.310152199E7

Supplier:РСВО
Amount:1.728397815E7

Supplier:управляющие компании
Amount:6.1851718912E8

Supplier:прочие
Amount:3.9114000886E8

",915889882
345,Западный административный округ,Февраль,2019,1.82524056721E9,"Supplier:ОАО «МОЭК»
Amount:6.8031640034E8

Supplier:Газпром межрегионгаз Москва
Amount:2.31188584E7

Supplier:Мосводоканал
Amount:1.8664689078E8

Supplier:Ростелеком
Amount:6.58540808E7

Supplier:РСВО
Amount:1.42717895E7

Supplier:управляющие компании
Amount:5.1936772581E8

Supplier:прочие
Amount:3.3566482158E8

",915889883
346,Северо-Западный административный округ,Февраль,2019,1.3314224033E9,"Supplier:ОАО «МОЭК»
Amount:5.1546405172E8

Supplier:Газпром межрегионгаз Москва
Amount:1.619009602E7

Supplier:Мосводоканал
Amount:1.3370852095E8

Supplier:Ростелеком
Amount:4.853634506E7

Supplier:РСВО
Amount:1.113208564E7

Supplier:управляющие компании
Amount:3.8767778415E8

Supplier:прочие
Amount:2.1871355576E8

",915889884
347,Зеленоградский административный округ,Февраль,2019,4.1866409617E8,"Supplier:ОАО «МОЭК»
Amount:1.6332466524E8

Supplier:Газпром межрегионгаз Москва
Amount:173010.7

Supplier:Мосводоканал
Amount:4.513271175E7

Supplier:Ростелеком
Amount:1.69638652E7

Supplier:РСВО
Amount:3540627.84

Supplier:управляющие компании
Amount:1.2121844495E8

Supplier:прочие
Amount:6.831077049E7

",915889886
348,Новомосковский административный округ,Февраль,2019,2.6642531612E8,"Supplier:ОАО «МОЭК»
Amount:5.968940599E7

Supplier:Мосводоканал
Amount:1.553491413E7

Supplier:управляющие компании
Amount:2.570672052E7

Supplier:прочие
Amount:1.6549427548E8

",915889888
349,Троицкий административный округ,Февраль,2019,1.1888650301E8,"Supplier:ОАО «МОЭК»
Amount:1.864236214E7

Supplier:Мосводоканал
Amount:9201821.99

Supplier:управляющие компании
Amount:1.57746985E7

Supplier:прочие
Amount:7.526762038E7

",915889889
350,Центральный административный округ,Сентябрь,2017,1.21203722666E9,"Supplier:ОАО «МОЭК»
Amount:4.4739120368E8

Supplier:Газпром межрегионгаз Москва
Amount:2.135291087E7

Supplier:Мосводоканал
Amount:1.2949360218E8

Supplier:Ростелеком
Amount:3.206910339E7

Supplier:РСВО
Amount:9795961.1

Supplier:управляющие компании
Amount:3.5602963197E8

Supplier:прочие
Amount:1.6977058075E8

",918727981
351,Северный административный округ,Сентябрь,2017,1.59965123045E9,"Supplier:ОАО «МОЭК»
Amount:6.1859214533E8

Supplier:Газпром межрегионгаз Москва
Amount:2.790500208E7

Supplier:Мосводоканал
Amount:1.6578223764E8

Supplier:Ростелеком
Amount:5.672214941E7

Supplier:РСВО
Amount:1.529798795E7

Supplier:прочие
Amount:2.9031539478E8

Supplier:управляющие компании
Amount:4.2503631326E8

",918728216
352,Северо-Восточный административный округ,Сентябрь,2017,1.82539371128E9,"Supplier:ОАО «МОЭК»
Amount:6.7580240318E8

Supplier:Газпром межрегионгаз Москва
Amount:1.996586681E7

Supplier:Мосводоканал
Amount:1.8059706248E8

Supplier:Ростелеком
Amount:6.525746224E7

Supplier:РСВО
Amount:1.720920247E7

Supplier:прочие
Amount:3

Supplier:управляющие компании
Amount:5.5900749301E8

",918728553
353,Восточный административный округ,Сентябрь,2017,2,"Supplier:ОАО «МОЭК»
Amount:7.3101491657E8

Supplier:Мосэнергосбыт
Amount:2.916974763E7

Supplier:Газпром межрегионгаз Москва
Amount:3.992561367E7

Supplier:Мосводоканал
Amount:2

Supplier:Ростелеком
Amount:7.543613825E7

Supplier:РСВО
Amount:1.67834241E7

Supplier:прочие
Amount:3

Supplier:управляющие компании
Amount:6.2216319617E8

",918728790
354,Юго-Восточный административный округ,Сентябрь,2017,1.92047198104E9,"Supplier:ОАО «МОЭК»
Amount:6.2557376055E8

Supplier:Мосэнергосбыт
Amount:3.662968513E7

Supplier:Газпром межрегионгаз Москва
Amount:2.493948988E7

Supplier:Мосводоканал
Amount:1.6599282524E8

Supplier:РСВО
Amount:1.484338074E7

Supplier:Ростелеком
Amount:2606169.41

Supplier:прочие
Amount:3.7799893465E8

Supplier:управляющие компании
Amount:6.7188773544E8

",918729114
355,Южный административный округ,Сентябрь,2017,2.13235450321E9,"Supplier:ОАО «МОЭК»
Amount:8.3140401481E8

Supplier:Газпром межрегионгаз Москва
Amount:2.874441683E7

Supplier:Мосводоканал
Amount:2

Supplier:Ростелеком
Amount:7.962378365E7

Supplier:РСВО
Amount:1.958719986E7

Supplier:прочие
Amount:3.654652247E8

Supplier:управляющие компании
Amount:5.9836083062E8

",918729387
356,Юго-Западный административный округ,Сентябрь,2017,1.98946553715E9,"Supplier:ОАО «МОЭК»
Amount:7.4849773498E8

Supplier:Газпром межрегионгаз Москва
Amount:1.912060146E7

Supplier:Мосводоканал
Amount:191855252

Supplier:Ростелеком
Amount:7.315338437E7

Supplier:РСВО
Amount:1.743317127E7

Supplier:прочие
Amount:3.5707301062E8

Supplier:управляющие компании
Amount:5.8233238245E8

",918729717
357,Западный административный округ,Сентябрь,2017,1.61340622497E9,"Supplier:ОАО «МОЭК»
Amount:5.6769142583E8

Supplier:Газпром межрегионгаз Москва
Amount:2.195399903E7

Supplier:Мосводоканал
Amount:1.5659398146E8

Supplier:Ростелеком
Amount:5.825756743E7

Supplier:РСВО
Amount:1.445502327E7

Supplier:прочие
Amount:3.1567250604E8

Supplier:управляющие компании
Amount:4.7878172191E8

",918729921
358,Северо-Западный административный округ,Сентябрь,2017,1.19107621379E9,"Supplier:ОАО «МОЭК»
Amount:4.367786083E8

Supplier:Газпром межрегионгаз Москва
Amount:1.530715206E7

Supplier:Мосводоканал
Amount:1.2077529982E8

Supplier:Ростелеком
Amount:4.276529368E7

Supplier:РСВО
Amount:1.119340024E7

Supplier:прочие
Amount:2

Supplier:управляющие компании
Amount:3.5681355155E8

",918729944
359,Зеленоградский административный округ,Сентябрь,2017,3.8024138996E8,"Supplier:Газпром межрегионгаз Москва
Amount:160430.97

Supplier:Мосводоканал
Amount:3.892244543E7

Supplier:Ростелеком
Amount:1.494246455E7

Supplier:РСВО
Amount:3598177

Supplier:прочие
Amount:6.675667858E7

Supplier:ОАО «МОЭК»
Amount:1.4414558631E8

Supplier:управляющие компании
Amount:1.117156071E8

",918730129
360,Новомосковский административный округ,Сентябрь,2017,1.9288208849E8,"Supplier:Мосводоканал
Amount:1.169862151E7

Supplier:управляющие компании
Amount:3.5256580278E8

Supplier:прочие
Amount:1.459168862E8

",918730161
361,Троицкий административный округ,Сентябрь,2017,6.841921956E7,"Supplier:Мосводоканал
Amount:6642646.11

Supplier:управляющие компании
Amount:1.517657055E7

Supplier:прочие
Amount:4.66000029E7

",918730178
362,Центральный административный округ,Ноябрь,2018,1.2499870148E9,"Supplier:ОАО «МОЭК»
Amount:4.3097430009E8

Supplier:Газпром межрегионгаз Москва
Amount:2.220972709E7

Supplier:Мосводоканал
Amount:1.2505267751E8

Supplier:Ростелеком
Amount:3.365496635E7

Supplier:РСВО
Amount:9812796.72

Supplier:прочие
Amount:2.1765054333E8

Supplier:управляющие компании
Amount:4.1063200371E8

",919119829
363,Северный административный округ,Ноябрь,2018,1.67322495909E9,"Supplier:ОАО «МОЭК»
Amount:6.2318985323E8

Supplier:Газпром межрегионгаз Москва
Amount:2.919860751E7

Supplier:Ростелеком
Amount:5.891627292E7

Supplier:Мосводоканал
Amount:1.8733549407E8

Supplier:РСВО
Amount:1.526432346E7

Supplier:прочие
Amount:3.2548360796E8

Supplier:управляющие компании
Amount:4.3383679994E8

",919119834
364,Северо-Восточный административный округ,Ноябрь,2018,1.89448607197E9,"Supplier:ОАО «МОЭК»
Amount:7.1834964703E8

Supplier:Газпром межрегионгаз Москва
Amount:2

Supplier:Мосводоканал
Amount:2

Supplier:Ростелеком
Amount:6.463628137E7

Supplier:РСВО
Amount:1.680923886E7

Supplier:прочие
Amount:3.2987115334E8

Supplier:управляющие компании
Amount:5.3997879218E8

",919119881
365,Восточный административный округ,Ноябрь,2018,2,"Supplier:ОАО «МОЭК»
Amount:7.5553429689E8

Supplier:Мосэнергосбыт
Amount:2.473069245E7

Supplier:Газпром межрегионгаз Москва
Amount:4.186616663E7

Supplier:Мосводоканал
Amount:2.2398633045E8

Supplier:Ростелеком
Amount:7.996685681E7

Supplier:РСВО
Amount:1.653843838E7

Supplier:прочие
Amount:3.2264460656E8

Supplier:управляющие компании
Amount:6.2717772181E8

",919119912
366,Юго-Восточный административный округ,Ноябрь,2018,1.98360966954E9,"Supplier:ОАО «МОЭК»
Amount:6.4201478991E8

Supplier:Мосэнергосбыт
Amount:3.438719412E7

Supplier:Газпром межрегионгаз Москва
Amount:2.634122416E7

Supplier:Мосводоканал
Amount:1.7920822103E8

Supplier:Ростелеком
Amount:3731372.26

Supplier:РСВО
Amount:1.479971282E7

Supplier:прочие
Amount:4

Supplier:управляющие компании
Amount:7

",919119989
367,Южный административный округ,Ноябрь,2018,2.19853369209E9,"Supplier:ОАО «МОЭК»
Amount:8.5896223474E8

Supplier:Газпром межрегионгаз Москва
Amount:2.994225919E7

Supplier:Мосводоканал
Amount:2.243462089E8

Supplier:Ростелеком
Amount:8.372739841E7

Supplier:РСВО
Amount:1.925433929E7

Supplier:прочие
Amount:3.7937715284E8

Supplier:управляющие компании
Amount:6

",919120039
368,Юго-Западный административный округ,Ноябрь,2018,2,"Supplier:ОАО «МОЭК»
Amount:7.9168415359E8

Supplier:Газпром межрегионгаз Москва
Amount:1.972875848E7

Supplier:Мосводоканал
Amount:2

Supplier:Ростелеком
Amount:7.712171387E7

Supplier:РСВО
Amount:1.726018636E7

Supplier:прочие
Amount:3.5431265178E8

Supplier:управляющие компании
Amount:5.7611156525E8

",919120747
369,Западный административный округ,Ноябрь,2018,1.68648699273E9,"Supplier:ОАО «МОЭК»
Amount:6.1055648596E8

Supplier:Газпром межрегионгаз Москва
Amount:2.268449937E7

Supplier:Мосводоканал
Amount:1.7835305327E8

Supplier:Ростелеком
Amount:6.124279163E7

Supplier:РСВО
Amount:1.427289278E7

Supplier:прочие
Amount:3.142409866E8

Supplier:управляющие компании
Amount:4.8513628312E8

",919120758
370,Северо-Западный административный округ,Ноябрь,2018,1.21461661674E9,"Supplier:ОАО «МОЭК»
Amount:4.528591583E8

Supplier:Газпром межрегионгаз Москва
Amount:1.596176111E7

Supplier:Мосводоканал
Amount:1.2818204875E8

Supplier:Ростелеком
Amount:4.510945577E7

Supplier:РСВО
Amount:1.106738159E7

Supplier:прочие
Amount:2

Supplier:управляющие компании
Amount:3.5763506082E8

",919120774
371,Зеленоградский административный округ,Ноябрь,2018,389147262,"Supplier:Газпром межрегионгаз Москва
Amount:168088

Supplier:Мосводоканал
Amount:4.234821866E7

Supplier:Ростелеком
Amount:1.582000415E7

Supplier:РСВО
Amount:3535661.65

Supplier:прочие
Amount:6.670897935E7

Supplier:ОАО «МОЭК»
Amount:1.474874246E8

Supplier:управляющие компании
Amount:1.1307888551E8

",919120795
372,Новомосковский административный округ,Ноябрь,2018,2.414605716E8,"Supplier:Мосводоканал
Amount:1.627498963E7

Supplier:управляющие компании
Amount:2.639029953E7

Supplier:прочие
Amount:1.9879528244E8

",919120804
